customer_id,total_transactions,customer_frequency,age,age_range,last_transaction_date,lifespan_months,recency_months,net_quantity_purchased,return_rate_pct,total_discount_received,total_revenue_generated,Customer_spend,average_transaction_value
C000005,2,Repeating-Customer,47,Old,2021-05-10,15,60,0,100.000000000000,10,0.00000000,Regular Customer,0.00000000
C000008,6,Repeating-Customer,59,Old,2024-08-30,53,21,14,6.666666666666,30,1082.75000000,VIP Customer,180.46000000
C000009,3,Repeating-Customer,49,Old,2023-12-27,47,29,6,14.285714285714,20,672.12000000,VIP Customer,224.04000000
C000019,1,One-Time-Customer,52,Old,2022-02-06,0,51,1,0.000000000000,30,92.90000000,Regular Customer,92.90000000
C000023,2,Repeating-Customer,40,Adults,2023-11-07,44,30,5,0.000000000000,10,708.43000000,VIP Customer,354.22000000
C000024,2,Repeating-Customer,42,Adults,2023-10-10,42,31,8,0.000000000000,0,263.16000000,Regular Customer,131.58000000
C000035,3,Repeating-Customer,27,Youth,2024-05-12,38,24,9,0.000000000000,0,771.24000000,VIP Customer,257.08000000
C000048,4,Repeating-Customer,19,Youth,2024-12-06,20,17,10,0.000000000000,50,1051.75000000,VIP Customer,262.94000000
C000049,5,Repeating-Customer,38,Adults,2024-08-11,37,21,12,0.000000000000,10,554.14000000,VIP Customer,110.83000000
C000051,4,Repeating-Customer,44,Adults,2024-02-15,38,27,11,0.000000000000,0,976.08000000,VIP Customer,244.02000000
C000056,3,Repeating-Customer,65,Seniors,2024-06-25,34,23,7,0.000000000000,0,737.56000000,VIP Customer,245.85000000
C000057,2,Repeating-Customer,67,Seniors,2024-03-20,2,26,5,0.000000000000,0,65.07000000,Regular Customer,32.54000000
C000062,2,Repeating-Customer,58,Old,2024-02-06,35,27,2,33.333333333333,20,339.23000000,Regular Customer,169.61000000
C000063,5,Repeating-Customer,67,Seniors,2024-12-19,45,17,14,6.666666666666,30,1396.01000000,VIP Customer,279.20000000
C000079,3,Repeating-Customer,48,Old,2024-10-20,10,19,6,0.000000000000,10,747.43000000,VIP Customer,249.14000000
C000081,2,Repeating-Customer,45,Adults,2020-10-22,6,67,4,0.000000000000,10,624.29000000,VIP Customer,312.15000000
C000082,1,One-Time-Customer,45,Adults,2020-11-10,0,66,3,0.000000000000,0,451.08000000,Regular Customer,451.08000000
C000086,3,Repeating-Customer,53,Old,2023-07-22,22,34,7,0.000000000000,30,412.60000000,Regular Customer,137.53000000
C000087,2,Repeating-Customer,59,Old,2023-04-27,12,37,3,0.000000000000,20,319.22000000,Regular Customer,159.61000000
C000095,1,One-Time-Customer,69,Seniors,2021-07-31,0,58,4,0.000000000000,10,140.22000000,Regular Customer,140.22000000
C000098,1,One-Time-Customer,27,Youth,2020-11-30,0,66,4,0.000000000000,10,291.85000000,Regular Customer,291.85000000
C000099,5,Repeating-Customer,21,Youth,2024-03-01,44,26,10,0.000000000000,50,418.43000000,Regular Customer,83.69000000
C000109,1,One-Time-Customer,56,Old,2021-06-07,0,59,4,0.000000000000,0,136.08000000,Regular Customer,136.08000000
C000115,2,Repeating-Customer,27,Youth,2022-09-12,22,44,5,0.000000000000,0,593.76000000,VIP Customer,296.88000000
C000120,3,Repeating-Customer,47,Old,2023-03-21,30,38,6,0.000000000000,40,538.68000000,VIP Customer,179.56000000
C000121,2,Repeating-Customer,49,Old,2022-01-31,2,52,3,0.000000000000,0,301.25000000,Regular Customer,150.63000000
C000122,2,Repeating-Customer,54,Old,2024-11-16,57,18,8,0.000000000000,20,1177.70000000,VIP Customer,588.85000000
