product_id,category,color,size,season,supplier,cost_price,list_price
1,Bottoms,Black,XL,Spring,B,78.26,46.45
2,NULL,Black,M,Summer,C,39.67,147.82
3,Tops,Black,XL,Summer,D,27.62,44.40
4,Accessories,White,XL,Winter,B,7.43,68.49
5,Accessories,NULL,XL,Fall,A,12.04,76.79
6,Shoes,Black,M,Fall,C,68.69,188.02
7,Tops,Blue,S,Fall,B,13.53,44.19
8,NULL,Yellow,M,Fall,C,50.03,169.59
9,Tops,Yellow,XS,Summer,B,14.11,12.25
10,Accessories,Black,S,Winter,D,19.63,55.40
11,Bottoms,Green,XS,Summer,D,41.84,117.44
12,Tops,Green,XL,Fall,B,9.55,144.51
13,Accessories,White,S,Fall,C,59.10,111.37
14,Shoes,Black,XL,Fall,D,35.07,177.88
15,Bottoms,Blue,XS,Spring,D,32.76,144.48
16,Shoes,White,M,Spring,D,31.57,133.10
17,Bottoms,White,S,Spring,B,8.11,51.92
18,Accessories,Black,XL,Summer,A,16.49,135.15
19,Dresses,Black,L,Winter,B,28.12,43.52
20,Bottoms,White,XL,Spring,B,66.05,43.82
21,Shoes,White,XS,Spring,B,54.35,112.82
22,Accessories,White,XS,Fall,B,74.05,120.82
23,Bottoms,Red,M,Spring,B,66.23,125.10
24,Dresses,White,S,Summer,A,17.35,138.67
25,Dresses,Green,L,Spring,B,44.01,186.69
26,Tops,Yellow,XS,Fall,D,43.24,138.89
27,Tops,Blue,S,Winter,A,53.73,57.12
28,Shoes,Blue,L,Spring,B,11.13,136.84
29,Bottoms,Yellow,M,Fall,D,64.17,43.80
30,Bottoms,Black,S,Fall,D,26.34,183.35
31,Tops,White,XL,Winter,D,74.45,123.27
32,Bottoms,Blue,L,Fall,A,74.55,12.25
33,NULL,Blue,XL,Fall,C,20.38,186.66
34,Dresses,Green,XL,Spring,B,74.58,155.85
35,Tops,Green,L,Summer,C,30.66,10.38
36,Accessories,Red,XL,Fall,C,22.67,29.60
37,Tops,Yellow,L,Fall,B,35.43,126.98
38,Accessories,Red,XL,Winter,C,15.81,33.32
39,Dresses,Blue,M,Spring,C,44.79,30.71
