product_id,category,supplier,season,region,store_name,total_customers,total_units_sold,net_quantity_sold,gross_revenue,Cost_Of_Goods_Sold,net_revenue,profit,return_rate,total_transactions,total_discount_received,avg_selling_price,last_sale_date,lifespan_months
2,NULL,C,Summer,Algarve,Faro Outlet,1,4,4,591.28,158.68,591.28000000,432.60,0.000000000000,1,0,147.82000000,2021-11-08,0
3,Tops,D,Summer,Online,Online,1,4,4,177.60,110.48,177.60000000,67.12,0.000000000000,1,0,44.40000000,2023-09-14,0
4,Accessories,B,Winter,Online,Online,1,1,1,68.49,7.43,68.49000000,61.06,0.000000000000,1,0,68.49000000,2024-06-24,0
5,Accessories,A,Fall,Lisbon Metropolitan Area,Lisbon Flagship,1,2,2,153.58,24.08,153.58000000,129.50,0.000000000000,1,0,76.79000000,2021-03-29,0
8,NULL,C,Fall,Algarve,Faro Outlet,1,4,4,678.36,200.12,678.36000000,478.24,0.000000000000,1,0,169.59000000,2021-07-24,0
10,Accessories,D,Winter,Northern Portugal,Porto Center,1,3,3,166.20,58.89,166.20000000,107.31,0.000000000000,1,0,55.40000000,2020-11-25,0
11,Bottoms,D,Summer,Central Portugal,Coimbra Boutique,1,4,4,469.76,167.36,469.76000000,302.40,0.000000000000,1,0,117.44000000,2023-11-23,0
11,Bottoms,D,Summer,Online,Online,1,3,3,352.32,125.52,317.09000000,191.57,0.000000000000,1,10,105.70000000,2024-12-31,0
14,Shoes,D,Fall,Algarve,Faro Outlet,1,3,3,533.64,105.21,533.64000000,428.43,0.000000000000,1,0,177.88000000,2021-06-17,0
14,Shoes,D,Fall,Central Portugal,Coimbra Boutique,1,1,1,177.88,35.07,124.52000000,89.45,0.000000000000,1,30,124.52000000,2024-09-11,0
15,Bottoms,D,Spring,Northern Portugal,Porto Center,1,4,3,577.92,98.28,433.44000000,335.16,25.000000000000,1,0,144.48000000,2024-03-09,0
16,Shoes,D,Spring,Algarve,Faro Outlet,1,4,4,532.40,126.28,532.40000000,406.12,0.000000000000,1,0,133.10000000,2020-01-25,0
20,Bottoms,B,Spring,Central Portugal,Coimbra Boutique,1,4,4,175.28,264.20,175.28000000,-88.92,0.000000000000,1,0,43.82000000,2022-09-02,0
21,Shoes,B,Spring,Lisbon Metropolitan Area,Lisbon Flagship,0,1,0,112.82,0.00,0.00000000,0.00,100.000000000000,1,10,NULL,2020-06-05,0
22,Accessories,B,Fall,Lisbon Metropolitan Area,Lisbon Flagship,1,4,4,483.28,296.20,434.95000000,138.75,0.000000000000,1,10,108.74000000,2024-02-02,0
22,Accessories,B,Fall,Online,Online,1,3,3,362.46,222.15,326.21000000,104.06,0.000000000000,1,10,108.74000000,2022-10-07,0
23,Bottoms,B,Spring,Central Portugal,Coimbra Boutique,1,3,3,375.30,198.69,375.30000000,176.61,0.000000000000,1,0,125.10000000,2021-02-01,0
24,Dresses,A,Summer,Central Portugal,Coimbra Boutique,1,4,3,554.68,52.05,416.01000000,363.96,25.000000000000,1,0,138.67000000,2021-05-17,0
25,Dresses,B,Spring,Central Portugal,Coimbra Boutique,1,2,2,373.38,88.02,336.04000000,248.02,0.000000000000,1,10,168.02000000,2020-03-23,0
