transaction_id,date,product_id,store_id,customer_id,quantity,discount,returned
tT1,2023-08-02,4681,4,C010043,3,0,0
tT2,2020-08-16,6662,3,C022472,1,0,0
tT3,2020-02-21,43402,5,C016135,4,0,0
tT4,2024-02-27,29875,3,C005605,3,NULL,1
tT5,2021-07-17,2476,3,C005857,4,0,0
tT6,2021-05-16,29990,5,C008363,3,10,0
tT7,2021-04-02,12742,4,C009301,4,0,0
tT8,2020-10-12,13477,3,C000971,1,20,0
tT9,2024-02-17,9924,4,C009786,1,0,0
tT1,2020-07-28,17086,2,C013109,4,0,1
tT11,2023-10-17,22378,3,NULL,3,10,0
tT12,2024-02-25,20432,3,C015117,2,20,0
tT13,2023-01-21,39287,4,C003825,1,0,0
tT14,2020-06-27,35161,4,C000260,4,0,0
tT15,2023-04-24,4069,3,C003101,2,10,0
tT16,2022-05-14,45344,1,C013538,4,20,1
tT17,2020-03-06,23494,2,C020786,4,0,0
tT18,2020-03-02,41609,3,NULL,1,NULL,0
tT19,2020-07-10,41217,4,NULL,3,20,0
tT2,2021-03-23,27083,2,C010490,3,0,0
tT21,2021-04-21,1095,5,C015618,3,0,0
tT22,2022-10-31,38967,4,C000704,1,10,0
tT23,2023-05-17,29378,4,C014336,4,0,0
tT24,2020-02-24,34054,1,C024799,1,0,0
tT25,2023-02-23,20684,3,C006404,1,0,0
tT26,2021-02-11,9765,2,C010101,1,0,1
tT27,2024-01-06,1916,4,C024847,4,0,0
tT28,2023-08-23,4993,2,C013077,3,0,0
tT29,2023-12-07,35487,2,C002945,4,10,0
tT3,2023-01-21,25703,5,C017670,2,0,1
tT31,2022-05-09,23373,3,C014849,4,10,1
tT32,2021-03-27,24763,1,C018314,1,30,0
tT33,2022-07-08,40513,4,C021637,4,0,0
tT34,2023-04-21,23648,4,C010896,1,10,0
tT35,2021-07-23,480,1,C001121,2,NULL,0
tT36,2024-07-15,43501,3,C014784,3,10,0
tT37,2024-11-15,5758,1,C016638,3,0,0
tT38,2020-01-14,19343,4,C018290,2,0,0
tT39,2024-04-03,2932,3,C022632,1,0,0
tT4,2024-07-08,48802,1,C014964,4,0,0
tT41,2020-11-22,11609,2,C007200,3,0,0
tT42,2023-11-30,1126,4,C021434,3,0,0
tT43,2022-05-15,1066,5,C023088,1,0,0
tT44,2021-11-27,22170,1,C024256,3,0,0
tT45,2021-07-23,21385,5,C017185,3,0,0
tT46,2020-11-14,44712,4,C000683,3,0,0
tT47,2021-03-16,25344,3,C021202,1,0,0
tT48,2024-04-12,42729,3,C015450,2,0,1
tT49,2021-11-20,25948,5,C004385,3,10,0
tT5,2020-07-28,23585,3,C005163,3,10,0
tT51,2020-07-08,23652,1,C013359,4,10,0
tT52,2022-02-17,15414,5,C005907,4,20,1
tT53,2020-07-17,43429,1,C008620,2,0,0
tT54,2022-01-05,29008,2,C018231,3,10,0
tT55,2024-10-01,16877,4,C012894,2,20,0
tT56,2021-12-05,34375,2,NULL,2,10,0
tT57,2023-05-21,49276,2,C009237,1,0,0
tT58,2021-06-25,5314,5,C001836,1,30,0
tT59,2024-07-10,41745,4,C018250,3,10,0
tT6,2020-03-29,16059,2,C013209,2,10,0
tT61,2024-02-03,11135,2,C010999,1,0,0
tT62,2022-07-29,17159,4,C014217,3,20,0
tT63,2023-01-03,14455,5,C016297,4,0,0
tT64,2020-09-12,26359,3,C010093,1,0,0
tT65,2022-02-14,39116,2,C000365,2,0,0
tT66,2020-06-10,21864,4,C022174,2,30,0
tT67,2023-02-04,24326,1,C024711,1,0,0
tT68,2021-08-23,40214,4,C020319,1,0,0
tT69,2024-08-25,42994,3,C005049,4,0,0
tT7,2023-07-11,39757,1,C001909,3,20,0
tT71,2023-06-20,39162,2,C023513,3,0,0
tT72,2024-12-18,16790,999,NULL,2,10,0
tT73,2024-10-30,11677,1,C016524,2,0,0
tT74,2022-01-10,7205,1,C021719,2,0,1
tT75,2023-03-28,691,2,C008004,2,0,0
tT76,2021-01-28,26583,3,C020747,2,0,0
tT77,2023-12-13,21780,4,C022485,3,0,0
tT78,2020-05-22,40809,4,C010917,2,0,0
tT79,2020-04-03,1675,5,C021940,1,0,1
tT8,2023-09-16,999999,3,C020459,4,0,0
tT81,2021-04-11,45247,3,C010681,4,20,0
tT82,2024-05-02,20829,3,C000978,1,10,0
tT83,2021-08-15,19849,5,C011508,3,20,0
tT84,2020-06-12,8143,5,NULL,1,30,0
tT85,2024-10-17,47287,3,C019469,3,0,0
tT86,2021-04-21,10632,1,C005579,3,0,0
tT87,2024-11-09,8812,1,C019996,2,0,0
tT88,2020-07-25,5535,2,C014899,3,10,0
tT89,2022-02-17,34298,5,C002964,4,20,0
tT9,2021-07-23,1672,5,C006813,1,10,0
tT91,2022-07-17,37515,5,C006552,2,0,1
tT92,2023-07-25,45322,1,C014137,3,0,0
tT93,2024-09-04,7935,5,C000563,3,NULL,0
tT94,2022-01-17,21739,2,C013100,4,0,0
tT95,2020-11-29,15749,2,C007400,1,0,0
tT96,2022-01-28,4624,2,C022510,2,0,0
tT97,2021-12-28,47695,2,C011695,4,0,0
